Wavelength	od	Transmission
604	6.70042	1.99E-05
603.5	7.22262	5.99E-06
603	7.48762	3.25E-06
602.5	7.48838	3.25E-06
602	7.48915	3.24E-06
601.5	7.41323	3.86E-06
601	6.82482	1.50E-05
600.5	6.9592	1.10E-05
600	7.44944	3.55E-06
599.5	7.42461	3.76E-06
599	7.39977	3.98E-06
598.5	6.72322	1.89E-05
598	6.28469	5.19E-05
597.5	6.46901	3.40E-05
597	6.93399	1.16E-05
596.5	7.39897	3.99E-06
596	6.4334	3.69E-05
595.5	6.45775	3.49E-05
595	6.31875	4.80E-05
594.5	6.30162	4.99E-05
594	6.45696	3.49E-05
593.5	7.49797	3.18E-06
593	7.49573	3.19E-06
592.5	7.4935	3.21E-06
592	7.4466	3.58E-06
591.5	7.31034	4.89E-06
591	6.92177	1.20E-05
590.5	6.76961	1.70E-05
590	6.95974	1.10E-05
589.5	7.22273	5.99E-06
589	6.61946	2.40E-05
588.5	6.85471	1.40E-05
588	6.82458	1.50E-05
587.5	6.93145	1.17E-05
587	7.03833	9.16E-06
586.5	6.37766	4.19E-05
586	7.04502	9.02E-06
585.5	6.75713	1.75E-05
585	6.46924	3.39E-05
584.5	6.35653	4.40E-05
584	7.09745	7.99E-06
583.5	6.94626	1.13E-05
583	6.79507	1.60E-05
582.5	7.26317	5.46E-06
582	7.35314	4.43E-06
581.5	7.44311	3.60E-06
581	7.15496	7.00E-06
580.5	6.27485	5.31E-05
580	6.65671	2.20E-05
579.5	7.39826	4.00E-06
579	7.48887	3.24E-06
578.5	7.39443	4.03E-06
578	7.29998	5.01E-06
577.5	7.02048	9.54E-06
577	6.4306	3.71E-05
576.5	6.82411	1.50E-05
576	6.65742	2.20E-05
575.5	6.68969	2.04E-05
575	6.72195	1.90E-05
574.5	6.79538	1.60E-05
574	6.85803	1.39E-05
573.5	6.92067	1.20E-05
573	6.7014	1.99E-05
572.5	6.48213	3.30E-05
572	6.745	1.80E-05
571.5	7.46702	3.41E-06
571	7.48531	3.27E-06
570.5	7.48646	3.26E-06
570	7.46218	3.45E-06
569.5	7.3014	5.00E-06
569	6.67796	2.10E-05
568.5	7.17172	6.73E-06
568	7.27638	5.29E-06
567.5	7.38105	4.16E-06
567	7.09663	8.01E-06
566.5	7.12591	7.48E-06
566	7.15519	7.00E-06
565.5	6.65582	2.21E-05
565	6.85185	1.41E-05
564.5	6.66659	2.15E-05
564	6.48133	3.30E-05
563.5	7.39795	4.00E-06
563	6.06012	8.71E-05
562.5	6.21942	6.03E-05
562	6.25689	5.53E-05
561.5	6.2604	5.49E-05
561	6.16826	6.79E-05
560.5	6.14821	7.11E-05
560	6.25853	5.51E-05
559.5	6.29268	5.10E-05
559	6.25956	5.50E-05
558.5	6.60289	2.50E-05
558	6.2372	5.79E-05
557.5	6.53644	2.91E-05
557	6.58387	2.61E-05
556.5	6.58542	2.60E-05
556	6.95853	1.10E-05
555.5	6.39886	3.99E-05
555	6.1553	6.99E-05
554.5	6.34548	4.51E-05
554	6.56765	2.71E-05
553.5	6.55261	2.80E-05
553	6.17434	6.69E-05
552.5	6.18627	6.51E-05
552	6.25883	5.51E-05
551.5	6.47841	3.32E-05
551	6.52048	3.02E-05
550.5	6.72076	1.90E-05
550	6.92105	1.20E-05
549.5	6.95996	1.10E-05
549	6.99887	1.00E-05
548.5	7.10887	7.78E-06
548	7.21887	6.04E-06
547.5	7.08862	8.15E-06
547	6.95837	1.10E-05
546.5	7.24057	5.75E-06
546	7.4683	3.40E-06
545.5	7.27186	5.35E-06
545	7.07541	8.41E-06
544.5	6.4548	3.51E-05
544	6.61953	2.40E-05
543.5	6.53709	2.90E-05
543	6.79533	1.60E-05
542.5	6.30574	4.95E-05
542	6.27237	5.34E-05
541.5	7.04487	9.02E-06
541	7.42706	3.74E-06
540.5	7.44626	3.58E-06
540	7.09607	8.02E-06
539.5	6.7299	1.86E-05
539	6.36373	4.33E-05
538.5	6.65608	2.21E-05
538	6.72048	1.90E-05
537.5	6.40747	3.91E-05
537	6.09527	8.03E-05
536.5	6.17615	6.67E-05
536	6.31576	4.83E-05
535.5	6.34529	4.52E-05
535	6.28293	5.21E-05
534.5	6.19929	6.32E-05
534	6.15982	6.92E-05
533.5	6.32333	4.75E-05
533	6.91757	1.21E-05
532.5	6.35475	4.42E-05
532	6.47982	3.31E-05
531.5	6.40735	3.91E-05
531	6.28223	5.22E-05
530.5	6.59694	2.53E-05
530	7.42174	3.79E-06
529.5	7.39578	4.02E-06
529	6.49309	3.21E-05
528.5	6.6002	2.51E-05
528	6.61734	2.41E-05
527.5	6.62538	2.37E-05
527	6.63341	2.33E-05
526.5	6.53527	2.92E-05
526	7.02795	9.38E-06
525.5	7.46072	3.46E-06
525	7.33691	4.60E-06
524.5	7.2131	6.12E-06
524	6.53272	2.93E-05
523.5	7.43516	3.67E-06
523	7.47079	3.38E-06
522.5	6.67522	2.11E-05
522	7.08694	8.19E-06
521.5	7.49865	3.17E-06
521	7.49348	3.21E-06
520.5	6.65453	2.22E-05
520	6.58715	2.59E-05
519.5	6.51978	3.02E-05
519	7.01847	9.58E-06
518.5	6.77529	1.68E-05
518	6.5321	2.94E-05
517.5	6.58129	2.62E-05
517	6.95456	1.11E-05
516.5	7.48976	3.24E-06
516	7.49786	3.18E-06
515.5	7.49759	3.18E-06
515	7.49732	3.18E-06
514.5	7.48869	3.25E-06
514	6.95294	1.11E-05
513.5	6.88024	1.32E-05
513	7.43622	3.66E-06
512.5	7.47248	3.37E-06
512	7.47398	3.36E-06
511.5	7.25076	5.61E-06
511	6.40433	3.94E-05
510.5	6.50115	3.15E-05
510	6.59798	2.52E-05
509.5	6.41254	3.87E-05
509	6.7269	1.88E-05
508.5	7.04125	9.09E-06
508	6.3225	4.76E-05
507.5	7.27679	5.29E-06
507	7.41463	3.85E-06
506.5	7.49155	3.22E-06
506	7.45355	3.52E-06
505.5	6.88112	1.31E-05
505	6.46432	3.43E-05
504.5	7.40919	3.90E-06
504	7.32535	4.73E-06
503.5	7.2415	5.73E-06
503	6.95191	1.12E-05
502.5	6.78316	1.65E-05
502	6.61441	2.43E-05
501.5	6.5182	3.03E-05
501	7.1047	7.86E-06
500.5	6.99215	1.02E-05
500	6.87959	1.32E-05
499.5	6.84977	1.41E-05
499	6.81995	1.51E-05
498.5	7.2848	5.19E-06
498	7.38583	4.11E-06
497.5	7.08935	8.14E-06
497	6.84804	1.42E-05
496.5	6.61446	2.43E-05
496	6.79084	1.62E-05
495.5	7.25895	5.51E-06
495	7.34825	4.48E-06
494.5	7.43755	3.65E-06
494	7.14802	7.11E-06
493.5	6.57962	2.63E-05
493	6.84937	1.41E-05
492.5	7.24889	5.64E-06
492	7.25648	5.54E-06
491.5	7.26408	5.44E-06
491	6.87974	1.32E-05
490.5	6.56337	2.73E-05
490	6.79117	1.62E-05
489.5	6.27943	5.25E-05
489	6.18175	6.58E-05
488.5	6.20721	6.21E-05
488	6.00709	9.84E-05
487.5	6.12584	7.48E-05
487	6.37019	4.26E-05
486.5	6.37199	4.25E-05
486	6.2622	5.47E-05
485.5	6.56038	2.75E-05
485	6.00236	9.95E-05
484.5	5.81308	1.54E-04
484	5.92299	1.19E-04
483.5	6.01324	9.70E-05
483	6.03039	9.32E-05
482.5	6.3109	4.89E-05
482	6.32039	4.78E-05
481.5	5.98204	1.04E-04
481	6.07038	8.50E-05
480.5	6.2958	5.06E-05
480	6.15391	7.02E-05
479.5	6.22037	6.02E-05
479	6.41219	3.87E-05
478.5	6.34075	4.56E-05
478	6.2532	5.58E-05
477.5	6.18129	6.59E-05
477	6.12987	7.42E-05
476.5	6.10481	7.86E-05
476	6.15301	7.03E-05
475.5	5.97654	1.06E-04
475	6.14814	7.11E-05
474.5	6.06411	8.63E-05
474	5.8047	1.57E-04
473.5	5.80003	1.58E-04
473	5.87712	1.33E-04
472.5	5.8891	1.29E-04
472	5.81709	1.52E-04
471.5	5.76195	1.73E-04
471	5.67228	2.13E-04
470.5	5.61937	2.40E-04
470	5.50152	3.15E-04
469.5	5.42179	3.79E-04
469	5.43171	3.70E-04
468.5	5.37913	4.18E-04
468	5.2868	5.17E-04
467.5	5.20409	6.25E-04
467	5.07872	8.34E-04
466.5	4.99803	0.001
466	4.90465	0.00125
465.5	4.79893	0.00159
465	4.69155	0.00203
464.5	4.56877	0.0027
464	4.44151	0.00362
463.5	4.31266	0.00487
463	4.17537	0.00668
462.5	4.02717	0.00939
462	3.87608	0.0133
461.5	3.71234	0.01939
461	3.53991	0.02885
460.5	3.35847	0.04381
460	3.15898	0.06935
459.5	2.94396	0.11377
459	2.71708	0.19183
458.5	2.47347	0.33615
458	2.21513	0.60935
457.5	1.93896	1.1509
457	1.64805	2.2488
456.5	1.34373	4.53176
456	1.03094	9.31239
455.5	0.73236	18.52009
455	0.47722	33.32568
454.5	0.28037	52.43545
454	0.14672	71.33078
453.5	0.07033	85.04955
453	0.03185	92.92916
452.5	0.01443	96.73152
452	0.01039	97.636
451.5	0.01111	97.4745
451	0.01047	97.61825
450.5	0.00902	97.94359
450	0.00705	98.3891
449.5	0.00476	98.91064
449	0.00636	98.54736
448.5	0.00806	98.16055
448	0.00934	97.8719
447.5	0.00979	97.77076
447	0.00794	98.18926
446.5	0.00587	98.6577
446	0.00996	97.7325
445.5	0.02547	94.30332
445	0.0711	84.8985
444.5	0.17667	66.57819
444	0.35862	43.79031
443.5	0.6227	23.83955
443	0.95519	11.08679
442.5	1.31832	4.80487
442	1.66923	2.14178
441.5	2.00175	0.99599
441	2.31783	0.48103
440.5	2.60292	0.24951
440	2.87803	0.13243
439.5	3.13661	0.07301
439	3.37469	0.0422
438.5	3.60026	0.0251
438	3.80896	0.01553
437.5	4.00317	0.00993
437	4.19016	0.00645
436.5	4.36352	0.00433
436	4.52739	0.00297
435.5	4.68044	0.00209
435	4.81571	0.00153
434.5	4.95395	0.00111
434	5.08407	8.24E-04
433.5	5.18282	6.56E-04
433	5.2613	5.48E-04
432.5	5.3879	4.09E-04
432	5.50163	3.15E-04
431.5	5.56659	2.71E-04
431	5.68721	2.05E-04
430.5	5.77001	1.70E-04
430	5.78106	1.66E-04
429.5	5.92666	1.18E-04
429	5.9941	1.01E-04
428.5	5.93887	1.15E-04
428	6.01735	9.61E-05
427.5	6.00005	1.00E-04
427	6.09474	8.04E-05
426.5	6.11202	7.73E-05
426	6.17913	6.62E-05
425.5	6.30249	4.98E-05
425	6.07091	8.49E-05
424.5	6.00827	9.81E-05
424	6.1805	6.60E-05
423.5	6.44246	3.61E-05
423	6.83831	1.45E-05
422.5	7.20529	6.23E-06
422	6.56954	2.69E-05
421.5	6.25324	5.58E-05
421	6.27852	5.27E-05
420.5	7.08272	8.27E-06
420	7.33732	4.60E-06
419.5	7.17224	6.73E-06
419	6.64249	2.28E-05
418.5	6.20048	6.30E-05
418	6.1937	6.40E-05
417.5	6.16616	6.82E-05
417	6.32032	4.78E-05
416.5	6.46341	3.44E-05
416	6.10296	7.89E-05
415.5	6.00706	9.84E-05
415	6.06485	8.61E-05
414.5	6.30246	4.98E-05
414	7.38099	4.16E-06
413.5	6.9033	1.25E-05
413	6.72825	1.87E-05
412.5	6.52256	3.00E-05
412	6.64253	2.28E-05
411.5	6.78013	1.66E-05
411	7.41485	3.85E-06
410.5	7.46572	3.42E-06
410	7.42306	3.78E-06
409.5	7.3804	4.16E-06
409	6.87005	1.35E-05
408.5	6.62246	2.39E-05
408	7.1414	7.22E-06
407.5	7.27039	5.37E-06
407	7.39938	3.99E-06
406.5	7.13843	7.27E-06
406	7.13807	7.28E-06
405.5	7.34054	4.57E-06
405	7.33827	4.59E-06
404.5	7.336	4.61E-06
404	6.30999	4.90E-05
403.5	6.40305	3.95E-05
403	6.47775	3.33E-05
402.5	6.72685	1.88E-05
402	7.44393	3.60E-06
401.5	7.47067	3.38E-06
401	7.4974	3.18E-06
400.5	7.4375	3.65E-06
400	7.20434	6.25E-06
399.5	7.20409	6.25E-06
399	7.07732	8.37E-06
398.5	7.49252	3.22E-06
398	7.49998	3.16E-06
397.5	7.49995	3.16E-06
397	7.49991	3.16E-06
396.5	7.49942	3.17E-06
396	7.49805	3.18E-06
395.5	7.45005	3.55E-06
395	6.74938	1.78E-05
394.5	6.51859	3.03E-05
394	6.63885	2.30E-05
393.5	6.58279	2.61E-05
393	7.42456	3.76E-06
392.5	7.41202	3.87E-06
392	6.53264	2.93E-05
391.5	6.834	1.47E-05
391	7.13536	7.32E-06
390.5	6.54866	2.83E-05
390	7.43362	3.68E-06
389.5	7.45574	3.50E-06
389	6.63714	2.31E-05
388.5	6.40009	3.98E-05
388	6.65694	2.20E-05
387.5	6.17289	6.72E-05
387	6.30578	4.95E-05
386.5	6.03776	9.17E-05
386	6.26312	5.46E-05
385.5	6.72431	1.89E-05
385	6.51741	3.04E-05
384.5	6.74906	1.78E-05
384	6.35435	4.42E-05
383.5	6.24473	5.69E-05
383	6.7483	1.79E-05
382.5	7.40326	3.95E-06
382	7.49616	3.19E-06
381.5	7.48587	3.27E-06
381	7.37396	4.23E-06
380.5	6.69761	2.01E-05
380	6.54644	2.84E-05
379.5	6.35519	4.41E-05
379	6.83265	1.47E-05
378.5	6.57738	2.65E-05
378	6.83082	1.48E-05
377.5	6.76347	1.72E-05
377	6.69612	2.01E-05
376.5	7.48439	3.28E-06
376	7.44669	3.58E-06
375.5	6.54532	2.85E-05
375	6.6342	2.32E-05
374.5	6.6547	2.21E-05
374	7.07104	8.49E-06
373.5	7.15026	7.08E-06
373	7.22947	5.90E-06
372.5	6.93564	1.16E-05
372	7.29161	5.11E-06
371.5	7.251	5.61E-06
371	6.82734	1.49E-05
370.5	6.45444	3.51E-05
370	7.37709	4.20E-06
369.5	7.44961	3.55E-06
369	7.09706	8.00E-06
368.5	6.74451	1.80E-05
368	7.06893	8.53E-06
367.5	6.55762	2.77E-05
367	7.34201	4.55E-06
366.5	7.29287	5.09E-06
366	7.24372	5.71E-06
365.5	6.36104	4.35E-05
365	6.29045	5.12E-05
364.5	6.17303	6.71E-05
364	7.48855	3.25E-06
363.5	7.49957	3.17E-06
363	7.49991	3.16E-06
362.5	7.49998	3.16E-06
362	7.49998	3.16E-06
361.5	7.49986	3.16E-06
361	7.49874	3.17E-06
360.5	7.46659	3.42E-06
360	6.71894	1.91E-05
359.5	6.18043	6.60E-05
359	6.89113	1.28E-05
358.5	7.19237	6.42E-06
358	6.37025	4.26E-05
357.5	7.27502	5.31E-06
357	7.27235	5.34E-06
356.5	6.35958	4.37E-05
356	6.39049	4.07E-05
355.5	6.24379	5.70E-05
355	6.09708	8.00E-05
354.5	7.06941	8.52E-06
354	6.94782	1.13E-05
353.5	6.82622	1.49E-05
353	6.74734	1.79E-05
352.5	6.66845	2.15E-05
352	6.38034	4.17E-05
351.5	6.93756	1.15E-05
351	7.49477	3.20E-06
350.5	6.71539	1.93E-05
350	6.63452	2.32E-05
349.5	6.55366	2.79E-05
349	6.3282	4.70E-05
348.5	6.5225	3.00E-05
348	6.71679	1.92E-05
347.5	6.97099	1.07E-05
347	7.32117	4.77E-06
346.5	7.2785	5.27E-06
346	6.8572	1.39E-05
345.5	6.47975	3.31E-05
345	7.36353	4.33E-06
344.5	7.44389	3.60E-06
344	7.45666	3.49E-06
343.5	7.40067	3.97E-06
343	6.53918	2.89E-05
342.5	7.40228	3.96E-06
342	7.4633	3.44E-06
341.5	7.45606	3.50E-06
341	7.38122	4.16E-06
340.5	6.50549	3.12E-05
340	7.06704	8.57E-06
339.5	7.19236	6.42E-06
339	7.47984	3.31E-06
338.5	7.3952	4.03E-06
338	7.31056	4.89E-06
337.5	6.85381	1.40E-05
337	7.49308	3.21E-06
336.5	6.52088	3.01E-05
336	6.76569	1.72E-05
335.5	6.62757	2.36E-05
335	6.48945	3.24E-05
334.5	6.64524	2.26E-05
334	6.69098	2.04E-05
333.5	7.46515	3.43E-06
333	7.49856	3.17E-06
332.5	7.49983	3.16E-06
332	7.49999	3.16E-06
331.5	7.49999	3.16E-06
331	7.49998	3.16E-06
330.5	7.49989	3.16E-06
330	7.4975	3.18E-06
329.5	7.43345	3.69E-06
329	6.40886	3.90E-05
328.5	6.42254	3.78E-05
328	7.36626	4.30E-06
327.5	6.28703	5.16E-05
327	6.82239	1.51E-05
326.5	6.70309	1.98E-05
326	6.58378	2.61E-05
325.5	6.3355	4.62E-05
325	6.08721	8.18E-05
324.5	6.26041	5.49E-05
324	6.61401	2.43E-05
323.5	6.9676	1.08E-05
323	6.47355	3.36E-05
322.5	5.9795	1.05E-04
322	6.34643	4.50E-05
321.5	6.71336	1.93E-05
321	6.04329	9.05E-05
320.5	6.96741	1.08E-05
320	6.88736	1.30E-05
319.5	6.28522	5.19E-05
319	6.43482	3.67E-05
318.5	6.07057	8.50E-05
318	5.83435	1.46E-04
317.5	6.88512	1.30E-05
317	6.02517	9.44E-05
316.5	6.27253	5.34E-05
316	6.25271	5.59E-05
315.5	6.2329	5.85E-05
315	5.8003	1.58E-04
314.5	6.15798	6.95E-05
314	6.20496	6.24E-05
313.5	5.95864	1.10E-04
313	6.39685	4.01E-05
312.5	6.23229	5.86E-05
312	6.22749	5.92E-05
311.5	6.22269	5.99E-05
311	6.81485	1.53E-05
310.5	6.24647	5.67E-05
310	6.15707	6.97E-05
309.5	7.00912	9.79E-06
309	6.70831	1.96E-05
308.5	6.44531	3.59E-05
308	7.20332	6.26E-06
307.5	6.68352	2.07E-05
307	6.16371	6.86E-05
306.5	6.18526	6.53E-05
306	6.81706	1.52E-05
305.5	6.08183	8.28E-05
305	6.4817	3.30E-05
304.5	6.33756	4.60E-05
304	6.5816	2.62E-05
303.5	6.0341	9.24E-05
303	7.39738	4.01E-06
302.5	7.48576	3.27E-06
302	7.49691	3.18E-06
301.5	7.49608	3.19E-06
301	7.4799	3.31E-06
300.5	7.39145	4.06E-06
300	6.58031	2.63E-05